#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
K7       1.511733  -.46773E-01  -.67785E-03  .000006   .000018   .400
K10      1.502013  -.49046E-01   .27246E-02  .000005   .000012   .400
K50      1.523196  -.48222E-01  -.66827E-03  .000004   .000007   .505
K01      1.523716  -.49439E-01   .33742E-03  .000007   .000019   .400
ZK1      1.533817  -.50848E-01   .44923E-04  .000007   .000021   .400
ZK4      1.512537  -.48652E-01   .16380E-03  .000011   .000027   .400
ZK5      1.534444  -.53054E-01   .14377E-02  .000011   .000029   .400
ZK7      1.509077  -.46386E-01  -.28088E-02  .000004   .000009   .400
BAK1     1.573218  -.54800E-01   .26903E-03  .000008   .000022   .400
BAK2     1.540616  -.50129E-01  -.79162E-03  .000010   .000026   .450
BAK4     1.569563  -.55958E-01   .12028E-02  .000026   .000009   .400
BAK5     1.557399  -.52459E-01   .31609E-03  .000013   .000033   .400
BAK6     1.575177  -.56148E-01   .11282E-02  .000013   .000034   .400
SK1      1.611035  -.59611E-01   .12680E-02  .000014   .000035   .400
SK2      1.608152  -.59011E-01   .14217E-02  .000014   .000038   .400
SK3      1.609560  -.57124E-01  -.49089E-03  .000009   .000025   .400
SK4      1.613471  -.57643E-01   .11512E-05  .000012   .000032   .400
SK5      1.589827  -.53497E-01  -.14856E-02  .000008   .000022   .400
SK6      1.614537  -.60112E-01   .13484E-02  .000013   .000033   .400
SK7      1.608032  -.56561E-01  -.51372E-03  .000010   .000027   .400
SK8      1.611956  -.60321E-01   .16265E-02  .000013   .000034   .400
SK9      1.614855  -.61676E-01   .21661E-02  .000010   .000028   .400
SK10     1.623589  -.60298E-01   .65430E-03  .000011   .000028   .400
SK11     1.564512  -.51456E-01  -.17164E-02  .000007   .000018   .400
SK12     1.583841  -.54340E-01  -.91054E-03  .000009   .000024   .400
SK14     1.603833  -.55014E-01  -.15757E-02  .000007   .000020   .400
SK15     1.623767  -.59232E-01   .16424E-03  .000010   .000028   .400
SK16     1.621156  -.56964E-01  -.10188E-02  .000009   .000025   .400
SK18     1.639372  -.63637E-01   .21309E-02  .000010   .000027   .400
SK19     1.614193  -.59042E-01   .74990E-03  .000010   .000027   .400
SK20     1.560289  -.50692E-01  -.20599E-02  .000006   .000017   .400
KF1      1.541172  -.58331E-01   .50745E-02  .000013   .000033   .400
KF2      1.527038  -.56633E-01   .45592E-02  .000013   .000032   .400
KF3      1.515219  -.51962E-01   .13585E-02  .000008   .000021   .400
KF4      1.534323  -.57001E-01   .40630E-02  .000013   .000033   .400
KF5      1.523841  -.56660E-01   .45157E-02  .000012   .000030   .450
KF6      1.518131  -.54545E-01   .34119E-02  .000011   .000027   .400
KF8      1.511900  -.55073E-01   .73613E-02  .000003   .000009   .460
BALF2    1.571798  -.61769E-01   .53846E-02  .000014   .000037   .400
BALF3    1.572130  -.59559E-01   .37477E-02  .000014   .000037   .400
BALF4    1.580346  -.59492E-01   .32115E-02  .000012   .000033   .400
BALF5    1.548130  -.56369E-01   .33357E-02  .000009   .000024   .400
BALF6    1.589839  -.61022E-01   .36249E-02  .000013   .000035   .400
BALF7    1.589580  -.63299E-01   .54603E-02  .000016   .000042   .400
BALF8    1.554389  -.59561E-01   .46774E-02  .000010   .000025   .400
SSK1     1.618021  -.62986E-01   .27626E-02  .000013   .000034   .400
SSK2     1.623140  -.64476E-01   .37226E-02  .000014   .000036   .400
SSK3     1.615705  -.66129E-01   .56763E-02  .000015   .000039   .400
SSK4     1.618457  -.61923E-01   .21397E-02  .000011   .000030   .400
SSK5     1.659370  -.71223E-01   .57910E-02  .000021   .000055   .400
SSK8     1.618614  -.68189E-01   .73782E-02  .000012   .000033   .400
SSK9     1.621018  -.68679E-01   .70192E-02  .000015   .000038   .400
SSKO1    1.649380  -.67410E-01   .40018E-02  .000011   .000031   .400
LLF1     1.549002  -.65785E-01   .89493E-02  .000010   .000026   .400
LLF2     1.541546  -.62975E-01   .76845E-02  .000010   .000027   .400
LLF3     1.560987  -.65489E-01   .85531E-02  .000013   .000034   .400
LLF4     1.562271  -.68203E-01   .10313E-01  .000013   .000034   .400
LLF6     1.532500  -.59839E-01   .58126E-02  .000009   .000024   .400
LLF7     1.549555  -.66149E-01   .90309E-02  .000013   .000032   .455
LLF8     1.533396  -.63594E-01   .12669E-01  .000002   .000004   .655
BAF1     1.557725  -.63023E-01   .77210E-02  .000015   .000038   .400
